Iteration_step	age	teff_primary	feh	Pdisk	logQ	
258	8.865309677261342	5467.432064966736	0.16281800501406501	4.737620367271603	8.959291271105739	8.91709400004109	741.7442507743835
260	7.873246884859629	5735.7827028968395	0.07344828890755235	4.796307625106571	8.919750581758468	7.297595286617211	790.1598825454712
261	7.9680711490395995	5686.5110987353155	-0.003152921059179317	4.649674813315597	9.044156481423702	9.251079731321648	731.9214279651642
262	7.811531196310597	5787.999358715444	0.1595758511734183	4.629909351869135	8.91808515705966	nan	731.9214279651642
263	6.822918296499537	5873.133469975279	0.2187795181913451	4.590511808520181	9.018097504744624	nan	731.9214279651642
264	6.614648256162575	5640.095252425917	0.18529233537421047	4.747556781227179	8.898580049233733	7.590077363553007	607.15052485466
266	8.412718102891304	5462.508296503202	0.20143885470327522	4.619255108345932	8.835982907514435	7.9564392480750055	848.4919526576996
267	6.072193233923942	5663.815735390682	-0.0448205661979785	4.395883904097801	8.78253959715368	8.446124224110028	606.6724293231964
269	12.759814128835567	5825.150645575712	-0.09392729317309091	4.300483546212519	8.847009337705586	nan	922.8914270401001
270	6.875038694375869	5631.042774565374	-0.12402455836597562	4.40782386200286	9.180309678749424	12.427337013918162	604.1104097366333
271	7.8864694289833315	5530.9567894092825	-0.16791051504823684	4.307662258528723	8.833038536301386	10.270572224569042	694.290519952774
272	12.557450910768607	5770.218637377667	-0.00932617400436321	4.362903109350448	8.603215137134784	nan	694.290519952774
